"phase","implemented","rule name","rule content","spec location","compiler location"
"Phase 1 - Parse and Aggregate","complete","TypePrim","TypePrim = ?name? where name ? PrimitiveTypeName","CursiveSpecification.md:8529","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_types.h:52-54. `TypePrim` is implemented as a record containing the primitive type name."
"Phase 1 - Parse and Aggregate","complete","IntTypes","IntTypes = {`i8`, `i16`, `i32`, `i64`, `i128`, `u8`, `u16`, `u32`, `u64`, `u128`, `isize`, `usize`}","CursiveSpecification.md:8531","/mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/expr_common.cpp:41-44. `kIntTypes` is exactly `{i8, i16, i32, i64, i128, isize, u8, u16, u32, u64, u128, usize}`."
"Phase 1 - Parse and Aggregate","complete","FloatTypes","FloatTypes = {`f16`, `f32`, `f64`}","CursiveSpecification.md:8532","/mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/expr_common.cpp:50-52. `kFloatTypes` is exactly `{f16, f32, f64}`."
"Phase 1 - Parse and Aggregate","complete","SignedIntTypes","SignedIntTypes = {`i8`, `i16`, `i32`, `i64`, `i128`, `isize`}","CursiveSpecification.md:8533","/mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/expr_common.cpp:46-48; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/expr_common.cpp:65-74. The signed-integer type set and classifier are exactly `{i8, i16, i32, i64, i128, isize}`."
"Phase 1 - Parse and Aggregate","complete","UnsignedIntTypes","UnsignedIntTypes = {`u8`, `u16`, `u32`, `u64`, `u128`, `usize`}","CursiveSpecification.md:8534","/mnt/c/dev/cursive/cursive/src/04_analysis/typing/const_len.cpp:121-124. `IsUnsignedIntType` implements exactly `{u8, u16, u32, u64, u128, usize}`."
"Phase 1 - Parse and Aggregate","complete","NumericTypes","NumericTypes = IntTypes ? FloatTypes","CursiveSpecification.md:8535","/mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/expr_common.cpp:41-52; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/expr_common.cpp:87-90. `IsNumericType` is implemented as `IntTypes ? FloatTypes`."
"Phase 1 - Parse and Aggregate","complete","tuple_type","tuple_type       ::= ""("" "")""
                   | ""("" type "";)""
                   | ""("" type ("","" type)+ trailing_comma? "")""","CursiveSpecification.md:8621-8623","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:146-179; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/tuple_type.cpp:25-77. Tuple-type syntax now matches the chapter rule: `()` parses as the unit type, singleton tuples use semicolon form, and multi-element tuples use comma-separated continuation only."
"Phase 1 - Parse and Aggregate","complete","tuple_expr","tuple_expr       ::= ""("" "")""
                   | ""("" expr "";)""
                   | ""("" expr ("","" expr)+ trailing_comma? "")""","CursiveSpecification.md:8605-8607","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/primary.cpp:156-172; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/primary.cpp:631-656; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:143-160; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:176-200; /mnt/c/dev/cursive/HelloCursive/Compiler/RunCompilerStaticConformance.ps1:5496-5503; /mnt/c/dev/cursive/HelloCursive/Compiler/RunCompilerStaticConformance.ps1:14871-14908; /mnt/c/dev/cursive/HelloCursive/Compiler/RunCompilerStaticConformance.ps1:19467. Tuple/paren disambiguation now keeps `(e,)` out of tuple_expr parsing, so the parser accepts only `()`, `(e;)`, and comma-separated multi-element tuple expressions."
"Phase 1 - Parse and Aggregate","complete","tuple_projection","tuple_projection ::= postfix_expr ""."" int_literal","CursiveSpecification.md:8608","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:81-108. Postfix parsing recognizes `.` followed by an integer literal token and builds tuple projection syntax `postfix_expr . int_literal`."
"Phase 1 - Parse and Aggregate","complete","Parse-Tuple-Type","**(Parse-Tuple-Type)**
IsPunc(Tok(P), ""("")    ? ? ParseTupleTypeElems(Advance(P)) ? (P_1, elems)    elems ? []    IsPunc(Tok(P_1), "")"")
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseNonPermType(P) ? (Advance(P_1), TypeTuple(elems))","CursiveSpecification.md:8613-8616","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:183-210. After `(`, the compiler parses tuple type elements, requires them to be non-empty for this branch, requires `)`, and returns TypeTuple(elems)."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleTypeElems-Empty","**(Parse-TupleTypeElems-Empty)**
IsPunc(Tok(P), "")"")
??????????????????????????????????????????????
? ? ParseTupleTypeElems(P) ? (P, [])","CursiveSpecification.md:8618-8621","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/tuple_type.cpp:29-32. `ParseTupleTypeElems` returns `[]` unchanged when the next token is `)`."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleTypeElems-One","**(Parse-TupleTypeElems-One)**
? ? ParseType(P) ? (P_1, t)    IsPunc(Tok(P_1), "";"")
????????????????????????????????????????????????????????????????
? ? ParseTupleTypeElems(P) ? (Advance(P_1), [t])","CursiveSpecification.md:8623-8626","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/tuple_type.cpp:40-45. One parsed type followed by `;` returns the singleton tuple-type element list."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleTypeElems-TrailingComma","**(Parse-TupleTypeElems-TrailingComma)**
? ? ParseType(P) ? (P_1, t)    IsPunc(Tok(P_1), "","")    IsPunc(Tok(Advance(P_1)), "")"")    TrailingCommaAllowed(P_0, P_1, {Punctuator("")"")})
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseTupleTypeElems(P) ? (Advance(P_1), [t])","CursiveSpecification.md:8647-8650","Rule removed from the current specification. Singleton comma tuple types are now explicitly ill-formed because trailing commas denote continuation only."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleTypeElems-Many","**(Parse-TupleTypeElems-Many)**
? ? ParseType(P) ? (P_1, t_1)    IsPunc(Tok(P_1), "","")    ? ? ParseType(Advance(P_1)) ? (P_2, t_2)    ? ? ParseTypeListTail(P_2, [t_2]) ? (P_3, ts)
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseTupleTypeElems(P) ? (P_3, [t_1] ++ ts)","CursiveSpecification.md:8633-8636","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/tuple_type.cpp:63-74; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_args.cpp:28-58. The compiler parses the first two tuple types and delegates the remaining comma-separated tail to `ParseTypeListTail`, matching the rule structure."
"Phase 1 - Parse and Aggregate","complete","ParenDelta(Punctuator(""(""))","ParenDelta(Punctuator(""("")) = 1","CursiveSpecification.md:8638","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:57-63. `StepDelimiterDepth` increments paren depth by 1 for `Punctuator(""("")`."
"Phase 1 - Parse and Aggregate","complete","ParenDelta(Punctuator("")""))","ParenDelta(Punctuator("")"")) = -1","CursiveSpecification.md:8639","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:65-67. `StepDelimiterDepth` decrements paren depth by 1 for `Punctuator("")"")` when depth is positive."
"Phase 1 - Parse and Aggregate","complete","ParenDelta(t)","ParenDelta(t) = 0 if t.kind ? {Punctuator(""(""), Punctuator("")"")}","CursiveSpecification.md:8640","cursive/src/02_source/parser/expr/primary.cpp:102-177,631-665; cursive/src/02_source/parser/expr/tuple_literal.cpp:70-166 ? introduced an exact scalar `ParenDelta(...)` helper while keeping non-paren nesting separate for tuple-vs-parenthesized disambiguation; HelloCursive/Types/ValueData/TuplesArraysSlicesRanges.cursive adds a tuple-scan conformance case covering commas inside `[]` and `{}` within parenthesized expressions."
"Phase 1 - Parse and Aggregate","ambiguous","Cursive Language Specification > 12. Concrete Data Types > 12.2 Tuples > 12.2.2 Parsing paragraph @8642","TupleScan(P, d) ? b","CursiveSpecification.md:8642","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:97-125. `TupleScan` is implemented as `TupleScan(Parser)` over a `DelimiterDepth{paren, bracket, brace}` state, not as the exact judgment `TupleScan(P, d) ? b` parameterized only by `d`."
"Phase 1 - Parse and Aggregate","complete","Tok(P)","Tok(P) = EOF
????????????????????????????????????????
TupleScan(P, d) ? false","CursiveSpecification.md:8643-8645","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:101-109. The active `TupleScan` returns `false` at EOF or when no token is available."
"Phase 1 - Parse and Aggregate","in_progress","Tok(P)","Tok(P) = Punctuator("")"") ? d = 1
????????????????????????????????????????????
TupleScan(P, d) ? false","CursiveSpecification.md:8646-8648","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:111-115. The `)`-terminating false case also requires `brace == 0 && bracket == 0`, so it is narrower than the rule `Tok(P) = Punctuator("")"") ? d = 1`."
"Phase 1 - Parse and Aggregate","ambiguous","Tok(P)","Tok(P) ? {Punctuator("",""), Punctuator("";"")} ? d = 1
??????????????????????????????????????????????
TupleScan(P, d) ? true
Tok(P) ? {Punctuator("")""), Punctuator("",""), Punctuator("";"")}    TupleScan(Advance(P), d + ParenDelta(Tok(P))) ? b
???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
TupleScan(P, d) ? b","CursiveSpecification.md:8649-8654","cursive/src/02_source/parser/expr/primary.cpp:147-171; cursive/src/02_source/parser/expr/tuple_literal.cpp:134-159; HelloCursive/Types/ValueData/TuplesArraysSlicesRanges.cursive:88-92. The literal paren-only TupleScan rule conflicts with already-landed conformance for parenthesized array/record expressions and singleton-comma handling, so this row is blocked on spec clarification."
"Phase 1 - Parse and Aggregate","in_progress","TupleParen(P)","TupleParen(P) ? IsPunc(Tok(P), ""("") ? (IsPunc(Tok(Advance(P)), "")"") ? TupleScan(Advance(P), 1) ? true)","CursiveSpecification.md:8656","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:135-145. `TupleParen` delegates to the non-equivalent `TupleScan` implementation, so it is not the exact spec predicate."
"Phase 1 - Parse and Aggregate","in_progress","Parse-Tuple-Literal","**(Parse-Tuple-Literal)**
IsPunc(Tok(P), ""("")    TupleParen(P)    ? ? ParseTupleExprElems(Advance(P)) ? (P_1, elems)    IsPunc(Tok(P_1), "")"")
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParsePrimary(P) ? (Advance(P_1), TupleExpr(elems))","CursiveSpecification.md:8658-8661","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/primary.cpp:681-699; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:135-145. The tuple-literal parse branch depends on the compiler?s broader `TupleParen` predicate, so the parse relation is not exact to the row."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleExprElems-Empty","**(Parse-TupleExprElems-Empty)**
IsPunc(Tok(P), "")"")
??????????????????????????????????????????????
? ? ParseTupleExprElems(P) ? (P, [])","CursiveSpecification.md:8663-8666","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:159-164. `ParseTupleExprElems` returns `[]` unchanged when the next token is `)`."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleExprElems-Single","**(Parse-TupleExprElems-Single)**
? ? ParseExpr(P) ? (P_1, e)    IsPunc(Tok(P_1), "";"")
????????????????????????????????????????????????????????????????
? ? ParseTupleExprElems(P) ? (Advance(P_1), [e])","CursiveSpecification.md:8668-8671","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:165-175. One parsed expression followed by `;` returns the singleton tuple-expression element list."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleExprElems-TrailingComma","**(Parse-TupleExprElems-TrailingComma)**
? ? ParseExpr(P) ? (P_1, e)    IsPunc(Tok(P_1), "","")    IsPunc(Tok(Advance(P_1)), "")"")    TrailingCommaAllowed(P_0, P_1, {Punctuator("")"")})
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseTupleExprElems(P) ? (Advance(P_1), [e])","CursiveSpecification.md:8692-8695","Rule removed from the current specification. Singleton comma tuple expressions are now explicitly ill-formed because trailing commas denote continuation only."
"Phase 1 - Parse and Aggregate","complete","Parse-TupleExprElems-Many","**(Parse-TupleExprElems-Many)**
? ? ParseExpr(P) ? (P_1, e_1)    IsPunc(Tok(P_1), "","")    ? ? ParseExpr(Advance(P_1)) ? (P_2, e_2)    ? ? ParseExprListTail(P_2, [e_2]) ? (P_3, es)
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseTupleExprElems(P) ? (P_3, [e_1] ++ es)","CursiveSpecification.md:8678-8681","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:188-191; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/array_literal.cpp:38-60. The multi-element tuple-expression branch parses the first expression and then delegates the remainder to the shared expression-list tail parser."
"Phase 1 - Parse and Aggregate","in_progress","Postfix-TupleIndex","**(Postfix-TupleIndex)**
IsPunc(Tok(P), ""."")    t = Tok(Advance(P))    t.kind = IntLiteral    idx = IntValue(t)
??????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? PostfixStep(P, e) ? (Advance(Advance(P)), TupleAccess(e, idx))","CursiveSpecification.md:8683-8686","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:99-108; /mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_exprs.h:321-325. The parser does not decode `idx = IntValue(t)`; it stores the full integer literal token in `TupleAccessExpr.index`."
"Phase 1 - Parse and Aggregate","complete","TypeTuple","TypeTuple = ?elems? where elems ? [Type]","CursiveSpecification.md:8690","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_types.h:103-105. `TypeTuple` is represented as a vector of element types."
"Phase 1 - Parse and Aggregate","complete","TupleExpr","TupleExpr = ?elems? where elems ? [Expr]","CursiveSpecification.md:8692","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_exprs.h:165-168. `TupleExpr` is represented as a vector of element expressions."
"Phase 1 - Parse and Aggregate","in_progress","TupleAccess","TupleAccess = ?base, index? where base ? Expr ? index ? ?","CursiveSpecification.md:8693","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_exprs.h:321-325. `TupleAccessExpr.index` is stored as a `Token`, not as an integer `?`."
"Phase 1 - Parse and Aggregate","complete","TupleFields([T_1, ?, T_n])","TupleFields([T_1, ?, T_n]) = [?0, T_1?, ?, ?n-1, T_n?]","CursiveSpecification.md:8695","cursive/include/05_codegen/layout/layout.h:99; cursive/include/05_codegen/layout/layout.h:102; cursive/src/05_codegen/layout/layout_tuples.cpp:59; cursive/src/05_codegen/layout/layout_tuples.cpp:72; cursive/src/05_codegen/layout/layout_dispatch.cpp:800; cursive/src/CMakeLists.txt:595 - explicit TupleFields/TupleLayoutOf projection is implemented and linked."
"Phase 1 - Parse and Aggregate","complete","array_type","array_type    ::= ""["" type "";"" expr ""]""","CursiveSpecification.md:8825","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:213-223; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/array_type.cpp:28-53. Array type syntax is exactly `[` type `;` expr `]`."
"Phase 1 - Parse and Aggregate","complete","array_expr","array_expr    ::= ""["" expr_list? ""]""","CursiveSpecification.md:8826","C:/Dev/Cursive/cursive/src/02_source/parser/expr/array_literal.cpp:67-120. The parser now matches the chapter array-expression surface exactly: `[]`, `[e]`, and comma-separated element lists only."
"Phase 1 - Parse and Aggregate","complete","index_expr","index_expr    ::= postfix_expr ""["" expr ""]""","CursiveSpecification.md:8827","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:118-136. Index expressions are parsed as postfix `[` expression `]`."
"Phase 1 - Parse and Aggregate","complete","Parse-Array-Type","**(Parse-Array-Type)**
IsPunc(Tok(P), ""["")    ? ? ParseType(Advance(P)) ? (P_1, t)    IsPunc(Tok(P_1), "";"")    ? ? ParseExpr(Advance(P_1)) ? (P_2, e)    IsPunc(Tok(P_2), ""]"")
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseNonPermType(P) ? (Advance(P_2), TypeArray(t, e))","CursiveSpecification.md:8832-8835","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:213-223; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/array_type.cpp:28-53. `Parse-Array-Type` consumes `[` type `;` expr `]` and builds `TypeArray(elem, size_expr)`."
"Phase 1 - Parse and Aggregate","complete","Parse-Array-Literal","**(Parse-Array-Literal)**
IsPunc(Tok(P), ""["")    ? ? ParseExprList(Advance(P)) ? (P_1, elems)    IsPunc(Tok(P_1), ""]"")
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParsePrimary(P) ? (Advance(P_1), ArrayExpr(elems))","CursiveSpecification.md:8837-8840","C:/Dev/Cursive/cursive/src/02_source/parser/expr/primary.cpp:717-720; C:/Dev/Cursive/cursive/src/02_source/parser/expr/array_literal.cpp:71-120. `ParsePrimary` dispatches `[` to the array-literal parser, which now returns only `ArrayExpr` on the success path described by the rule."
"Phase 1 - Parse and Aggregate","complete","Postfix-Index","**(Postfix-Index)**
IsPunc(Tok(P), ""["")    ? ? ParseExpr(Advance(P)) ? (P_1, idx)    IsPunc(Tok(P_1), ""]"")
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? PostfixStep(P, e) ? (Advance(P_1), IndexAccess(e, idx))","CursiveSpecification.md:8842-8845","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:118-136. `Postfix-Index` parses `[` expr `]` and returns `IndexAccessExpr(base, idx)`."
"Phase 1 - Parse and Aggregate","complete","TypeArray","TypeArray = ?elem, size_expr? where elem ? Type ? size_expr ? Expr","CursiveSpecification.md:8849","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_types.h:113-116. `TypeArray` stores the element type and length expression."
"Phase 1 - Parse and Aggregate","complete","ArrayExpr","ArrayExpr = ?elems? where elems ? [Expr]","CursiveSpecification.md:8850","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_exprs.h:170-173. `ArrayExpr` stores an expression list."
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 12. Concrete Data Types > 12.3 Arrays > 12.3.3 AST Representation / Form paragraph @8852","IndexAccess is shared by arrays and slices. This section owns the cases where the base type is `TypeArray`.","CursiveSpecification.md:8852","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_exprs.h:327-331; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/index_access.cpp:205-391. `IndexAccessExpr` is the shared AST node for both arrays and slices, and the typing path specializes it by base type."
"Phase 1 - Parse and Aggregate","complete","slice_type","slice_type  ::= ""["" type ""]""","CursiveSpecification.md:8987","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:213-223; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/slice_type.cpp:26-39. Slice type syntax is exactly `[` type `]`."
"Phase 1 - Parse and Aggregate","complete","slice_expr","slice_expr  ::= postfix_expr ""["" expr ""]""","CursiveSpecification.md:8988","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:118-136. Slice indexing uses the same postfix `[` expr `]` surface syntax as array indexing."
"Phase 1 - Parse and Aggregate","in_progress","coercion","coercion    ::= array_expr_as_slice","CursiveSpecification.md:8989",""
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 12. Concrete Data Types > 12.4 Slices > 12.4.1 Syntax paragraph @8992","Array-to-slice coercion is semantic rather than surface-syntactic.","CursiveSpecification.md:8992","/mnt/c/dev/cursive/cursive/src/04_analysis/composite/arrays_slices.cpp:144-174. Array-to-slice conversion is implemented as semantic coercion (`CoerceArrayToSlice`), not as a dedicated surface parse form."
"Phase 1 - Parse and Aggregate","complete","Parse-Slice-Type","**(Parse-Slice-Type)**
IsPunc(Tok(P), ""["")    ? ? ParseType(Advance(P)) ? (P_1, t)    IsPunc(Tok(P_1), ""]"")
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseNonPermType(P) ? (Advance(P_1), TypeSlice(t))","CursiveSpecification.md:8996-8999","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/slice_type.cpp:26-39. `Parse-Slice-Type` consumes `]` after the element type and constructs `TypeSlice(elem)`."
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 12. Concrete Data Types > 12.4 Slices > 12.4.2 Parsing paragraph @9001","`IndexAccess(base, idx)` is parsed by `Postfix-Index` in ?12.3.2. This section owns the cases where the base type is `TypeSlice`.","CursiveSpecification.md:9001","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:118-136; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/index_access.cpp:365-385; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/index_access.cpp:518-528. `IndexAccess(base, idx)` is parsed by `Postfix-Index`, and this typing path owns the slice-base cases."
"Phase 1 - Parse and Aggregate","complete","TypeSlice","TypeSlice = ?elem? where elem ? Type","CursiveSpecification.md:9005","/mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_types.h:118-122. `TypeSlice` stores exactly one element type."
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 12. Concrete Data Types > 12.4 Slices > 12.4.3 AST Representation / Form paragraph @9007","`IndexAccess(base, idx)` denotes either direct slice indexing or slice-producing range selection when the base type is `TypeSlice`.","CursiveSpecification.md:9007","/mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/index_access.cpp:254-315; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/index_access.cpp:365-385; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/index_access.cpp:467-528. For slice bases, `IndexAccess(base, idx)` is typed either as direct slice indexing or as range selection producing another slice."
"Phase 1 - Parse and Aggregate","complete","range_expr","range_expr      ::= ""..""
                  | "".."" expr
                  | ""..="" expr
                  | expr ""..""
                  | expr "".."" expr
                  | expr ""..="" expr","CursiveSpecification.md:9137-9142","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:105-150; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:51-91. The range parser covers `..`, `..e`, `..=e`, `e..`, `e..e`, and `e..=e`."
"Phase 1 - Parse and Aggregate","complete","range_type_name","range_type_name ::= ""Range"" | ""RangeInclusive"" | ""RangeFrom"" | ""RangeTo"" | ""RangeToInclusive"" | ""RangeFull""","CursiveSpecification.md:9143","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:107-155. Builtin range-type recognition is exactly `Range`, `RangeInclusive`, `RangeFrom`, `RangeTo`, `RangeToInclusive`, and `RangeFull`."
"Phase 1 - Parse and Aggregate","complete","Cursive Language Specification > 12. Concrete Data Types > 12.5 Ranges > 12.5.1 Syntax paragraph @9146","`Range<T>`, `RangeInclusive<T>`, `RangeFrom<T>`, `RangeTo<T>`, and `RangeToInclusive<T>` use the ordinary `generic_type_use` syntax of ?14.2.1. `RangeFull` uses the ordinary nominal type-path syntax. No range-specific type parser is introduced.","CursiveSpecification.md:9146","/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:313-338; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:107-155. Range surface types go through the ordinary nominal/generic type parser, which then elaborates those names into dedicated range AST nodes without a separate range-type parser."
"Phase 1 - Parse and Aggregate","in_progress","Parse-Range-To","**(Parse-Range-To)**
IsOp(Tok(P), "".."")    ? ? ParseAdd(Advance(P)) ? (P_1, e)
????????????????????????????????????????????????????????????????
? ? ParseRange(P) ? (P_1, Range(`To`, ?, e))","CursiveSpecification.md:9150-9153","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:109-120. The `..e` branch parses the RHS with `ParseLogicalOr`, not `ParseAdd` as the rule requires."
"Phase 1 - Parse and Aggregate","in_progress","Parse-Range-ToInc","**(Parse-Range-ToInc)**
IsOp(Tok(P), ""..="")    ? ? ParseAdd(Advance(P)) ? (P_1, e)
????????????????????????????????????????????????????????????????
? ? ParseRange(P) ? (P_1, Range(`ToInclusive`, ?, e))","CursiveSpecification.md:9155-9158","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:109-120. The `..=e` branch parses the RHS with `ParseLogicalOr`, not `ParseAdd` as the rule requires."
"Phase 1 - Parse and Aggregate","in_progress","Parse-Range-Full","**(Parse-Range-Full)**
IsOp(Tok(P), "".."")    Tok(Advance(P)) ? RangeStop
??????????????????????????????????????????????????????????????
? ? ParseRange(P) ? (Advance(P), Range(`Full`, ?, ?))","CursiveSpecification.md:9160-9163","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:123-135. Full-range detection uses `!after || !IsExprStart(*after)`, not the spec?s explicit `RangeStop` set."
"Phase 1 - Parse and Aggregate","in_progress","Parse-Range-Lhs","**(Parse-Range-Lhs)**
? ? ParseAdd(P) ? (P_1, e_0)    ? ? ParseRangeTail(P_1, e_0) ? (P_2, e)
??????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseRange(P) ? (P_2, e)","CursiveSpecification.md:9165-9168","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:146-150. LHS-first range parsing starts with `ParseLogicalOr`, not `ParseAdd`."
"Phase 1 - Parse and Aggregate","complete","Parse-RangeTail-None","**(Parse-RangeTail-None)**
Tok(P) ? {Operator(""..""), Operator(""..="")}
??????????????????????????????????????????????????????????????
? ? ParseRangeTail(P, e_0) ? (P, e_0)","CursiveSpecification.md:9170-9173","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:51-56. `ParseRangeTail` returns the original lhs unchanged when the next token is neither `..` nor `..=`."
"Phase 1 - Parse and Aggregate","in_progress","Parse-RangeTail-From","**(Parse-RangeTail-From)**
IsOp(Tok(P), "".."")    Tok(Advance(P)) ? RangeStop
??????????????????????????????????????????????????????????????????????????????
? ? ParseRangeTail(P, e_0) ? (Advance(P), Range(`From`, e_0, ?))","CursiveSpecification.md:9175-9178","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:59-69. The `From` case is recognized by `!next || !IsExprStart(*next)`, not by explicit `RangeStop` membership."
"Phase 1 - Parse and Aggregate","in_progress","Parse-RangeTail-Exclusive","**(Parse-RangeTail-Exclusive)**
IsOp(Tok(P), "".."")    ? ? ParseAdd(Advance(P)) ? (P_1, e_1)
??????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseRangeTail(P, e_0) ? (P_1, Range(`Exclusive`, e_0, e_1))","CursiveSpecification.md:9180-9183","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:59-78. Exclusive ranges parse the RHS with `ParseLogicalOr`, not `ParseAdd`."
"Phase 1 - Parse and Aggregate","in_progress","Parse-RangeTail-Inclusive","**(Parse-RangeTail-Inclusive)**
IsOp(Tok(P), ""..="")    ? ? ParseAdd(Advance(P)) ? (P_1, e_1)
????????????????????????????????????????????????????????????????????????????????????????????????
? ? ParseRangeTail(P, e_0) ? (P_1, Range(`Inclusive`, e_0, e_1))","CursiveSpecification.md:9185-9188","/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/range.cpp:81-91. Inclusive ranges parse the RHS with `ParseLogicalOr`, not `ParseAdd`."
