task_id,wave,responsibility,phase_rank,shared_work_surface,atomic_surfaces,row_count,incorrect_count,missing_count,row_id_ranges,depends_on,dependency_reasons
TASK-029,4,Phase 3 - Resolve and Typecheck,3,compiler/00_core + compiler/04_analysis,compiler/00_core + compiler/04_analysis,50,50,0,"3661,3678,3992,4140-4142,4195,4224,4243,4245,4299,4301,4600,4603,4717-4718,4745,4829,4982-4983,5175,5494,5500,5510,5801,5820,5918-5919,5922,5925,5952,5956,6010,6018,6053,6071-6072,6077,6100,6109,6144,6146,6346,6348,6351,6354,6366-6367,6501,6503","TASK-004,TASK-005,TASK-016,TASK-025,TASK-027,TASK-039",TASK-004:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-016:phase-prerequisite/exact-surface; TASK-025:phase-prerequisite/exact-surface; TASK-039:same-phase/integration-after-component-fixes; TASK-027:same-phase/integration-after-component-fixes
TASK-030,4,Phase 3 - Resolve and Typecheck,3,compiler/04_analysis + compiler/05_codegen,compiler/04_analysis + compiler/05_codegen,38,28,10,"4149,4173,4198,4217-4219,5040,5171,5244,5423-5424,5430-5431,5472,5586,5619,5945,5948,5965,5996,6000,6107,6114-6119,6121-6122,6125,6270,6621,6652,6655,6662,6667,6669","TASK-005,TASK-019,TASK-026,TASK-027,TASK-032",TASK-005:phase-prerequisite/component-surface; TASK-019:phase-prerequisite/exact-surface; TASK-026:phase-prerequisite/exact-surface; TASK-027:same-phase/integration-after-component-fixes; TASK-032:same-phase/integration-after-component-fixes
TASK-031,4,Phase 3 - Resolve and Typecheck,3,compiler/02_source + compiler/04_analysis,compiler/02_source + compiler/04_analysis,16,16,0,"3833,3852,3934,3938,4503,4539,4548-4550,4582,4589,5133,5135,5313,5416,6398","TASK-006,TASK-011,TASK-024,TASK-027,TASK-035",TASK-006:phase-prerequisite/exact-surface; TASK-011:phase-prerequisite/exact-surface; TASK-024:phase-prerequisite/exact-surface; TASK-035:same-phase/integration-after-component-fixes; TASK-027:same-phase/integration-after-component-fixes
TASK-033,4,Phase 3 - Resolve and Typecheck,3,compiler/04_analysis + compiler/05_codegen + runtime/src/concurrency,compiler/04_analysis + compiler/05_codegen + runtime/src/concurrency,3,2,1,"6254,6269,6271","TASK-005,TASK-010,TASK-013,TASK-020,TASK-023,TASK-027,TASK-032,TASK-038",TASK-005:phase-prerequisite/component-surface; TASK-010:phase-prerequisite/component-surface; TASK-013:phase-prerequisite/component-surface; TASK-020:phase-prerequisite/component-surface; TASK-023:phase-prerequisite/component-surface; TASK-027:same-phase/integration-after-component-fixes; TASK-032:same-phase/integration-after-component-fixes; TASK-038:same-phase/integration-after-component-fixes
TASK-034,4,Phase 3 - Resolve and Typecheck,3,compiler/00_core + compiler/02_source + compiler/04_analysis,compiler/00_core + compiler/02_source + compiler/04_analysis,2,2,0,"5507,5827","TASK-002,TASK-004,TASK-005,TASK-008,TASK-010,TASK-012,TASK-022,TASK-023,TASK-027,TASK-035,TASK-039",TASK-004:phase-prerequisite/component-surface; TASK-002:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-012:phase-prerequisite/component-surface; TASK-008:phase-prerequisite/component-surface; TASK-010:phase-prerequisite/component-surface; TASK-022:phase-prerequisite/component-surface; TASK-023:phase-prerequisite/component-surface; TASK-039:same-phase/integration-after-component-fixes; TASK-035:same-phase/integration-after-component-fixes; TASK-027:same-phase/integration-after-component-fixes
TASK-036,4,Phase 3 - Resolve and Typecheck,3,compiler/04_analysis + runtime/src/concurrency,compiler/04_analysis + runtime/src/concurrency,2,2,0,"4134,5989","TASK-005,TASK-010,TASK-020,TASK-023,TASK-027,TASK-038",TASK-005:phase-prerequisite/component-surface; TASK-010:phase-prerequisite/component-surface; TASK-020:phase-prerequisite/component-surface; TASK-023:phase-prerequisite/component-surface; TASK-027:same-phase/integration-after-component-fixes; TASK-038:same-phase/integration-after-component-fixes
TASK-040,4,Phase 3 - Resolve and Typecheck,3,compiler/00_core + compiler/02_source,compiler/00_core + compiler/02_source,1,1,0,4389,"TASK-002,TASK-004,TASK-015,TASK-022,TASK-035,TASK-039",TASK-004:phase-prerequisite/component-surface; TASK-002:phase-prerequisite/component-surface; TASK-015:phase-prerequisite/exact-surface; TASK-022:phase-prerequisite/component-surface; TASK-039:same-phase/integration-after-component-fixes; TASK-035:same-phase/integration-after-component-fixes
TASK-044,4,Phase 4 - Lower and Emit,4,unmapped/no-compiler-location,unmapped/no-compiler-location,310,0,310,"6754-6757,6769,6824,6885,6937,6982,7009-7012,7018,7075-7076,7082,7096-7097,7100-7101,7103,7116-7120,7125-7126,7139-7141,7147-7152,7163-7168,7183,7261-7263,7431,7446,7617,7622-7683,7687,7689-7699,7703,7705-7732,7739-7785,7788-7790,7945-7947,7953,7955-7957,8003-8004,8112,8122,8124,8153-8154,8174,8176-8177,8179-8180,8185-8195,8197,8203-8209,8212,8218,8223,8225-8226,8236,8239,8282-8285,8290,8297,8314-8327,8424,8426-8427,8452,8466-8467,8470-8474,8488,8544-8546,8549,8552,8585,8593,8600,8671,8673-8675,8681,8700,8707,8717,8720,8736,8742,8750,8761,8783-8790","TASK-001,TASK-028",TASK-001:phase-prerequisite/exact-surface; TASK-028:phase-prerequisite/exact-surface
TASK-047,4,Phase 4 - Lower and Emit,4,compiler/04_analysis,compiler/04_analysis,9,9,0,"6891,7060-7061,7067,7071,7222,7413,8165,8167","TASK-005,TASK-027",TASK-005:phase-prerequisite/exact-surface; TASK-027:phase-prerequisite/exact-surface
TASK-051,4,Phase 4 - Lower and Emit,4,compiler/00_core + compiler/01_project,compiler/00_core + compiler/01_project,3,3,0,"6785-6786,6848","TASK-003,TASK-004,TASK-039,TASK-045,TASK-054",TASK-004:phase-prerequisite/component-surface; TASK-003:phase-prerequisite/component-surface; TASK-039:phase-prerequisite/component-surface; TASK-054:same-phase/integration-after-component-fixes; TASK-045:same-phase/integration-after-component-fixes
TASK-052,4,Phase 4 - Lower and Emit,4,compiler/00_core + compiler/05_codegen,compiler/00_core + compiler/05_codegen,3,3,0,"7592,8246,8751","TASK-004,TASK-041,TASK-043,TASK-054",TASK-004:phase-prerequisite/component-surface; TASK-041:phase-prerequisite/exact-surface; TASK-054:same-phase/integration-after-component-fixes; TASK-043:same-phase/integration-after-component-fixes
TASK-053,4,Phase 4 - Lower and Emit,4,compiler/02_source,compiler/02_source,3,3,0,8044-8046,"TASK-002,TASK-035",TASK-002:phase-prerequisite/exact-surface; TASK-035:phase-prerequisite/exact-surface
TASK-072,4,Runtime / Non-Compilation Semantics,5,compiler/05_codegen + runtime/src/concurrency,compiler/05_codegen + runtime/src/concurrency,29,14,15,"8841,8859,10179-10181,10185,10192-10196,10209-10210,10217,10228-10229,10252,10254,10256-10265,10319","TASK-037,TASK-050,TASK-067,TASK-073",TASK-037:phase-prerequisite/exact-surface; TASK-050:phase-prerequisite/exact-surface; TASK-067:same-phase/integration-after-component-fixes; TASK-073:same-phase/integration-after-component-fixes
TASK-074,4,Runtime / Non-Compilation Semantics,5,compiler/05_codegen + runtime/src/memory,compiler/05_codegen + runtime/src/memory,13,8,5,"9420,9422,9439-9440,9443-9445,9685,9687,10397,10399-10401","TASK-032,TASK-043,TASK-067,TASK-070",TASK-032:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-067:same-phase/integration-after-component-fixes; TASK-070:same-phase/integration-after-component-fixes
TASK-080,4,Runtime / Non-Compilation Semantics,5,compiler/05_codegen + runtime/src/system,compiler/05_codegen + runtime/src/system,4,4,0,"9003,9006,9011,9057","TASK-032,TASK-043,TASK-067",TASK-032:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-067:same-phase/integration-after-component-fixes
TASK-081,4,Runtime / Non-Compilation Semantics,5,compiler/00_core,compiler/00_core,3,3,0,8874-8876,"TASK-004,TASK-039,TASK-054",TASK-004:phase-prerequisite/exact-surface; TASK-039:phase-prerequisite/exact-surface; TASK-054:phase-prerequisite/exact-surface
TASK-088,4,Runtime / Non-Compilation Semantics,5,compiler/05_codegen + runtime/src/context,compiler/05_codegen + runtime/src/context,2,2,0,"10238,10240","TASK-032,TASK-064,TASK-067,TASK-102",TASK-032:phase-prerequisite/component-surface; TASK-064:phase-prerequisite/exact-surface; TASK-067:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes
TASK-093,4,Runtime / Non-Compilation Semantics,5,compiler/01_project + compiler/05_codegen,compiler/01_project + compiler/05_codegen,1,0,1,9728,"TASK-003,TASK-032,TASK-055,TASK-067",TASK-003:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-055:phase-prerequisite/exact-surface; TASK-067:same-phase/integration-after-component-fixes
TASK-098,4,Runtime / Non-Compilation Semantics,5,compiler/05_codegen + runtime/src/context + runtime/src/internal + runtime/src/network,compiler/05_codegen + runtime/src/context + runtime/src/internal + runtime/src/network,1,1,0,8824,"TASK-032,TASK-043,TASK-059,TASK-067,TASK-102",TASK-032:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-067:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes
TASK-046,5,Phase 4 - Lower and Emit,4,compiler/04_analysis + compiler/05_codegen,compiler/04_analysis + compiler/05_codegen,23,21,2,"6857,7112,7114-7115,7128,7133-7136,7145,7210,7229-7230,7238,7415,7418-7419,7429,7504-7505,7563,8332-8333","TASK-005,TASK-030,TASK-043,TASK-047",TASK-005:phase-prerequisite/component-surface; TASK-030:phase-prerequisite/exact-surface; TASK-047:same-phase/integration-after-component-fixes; TASK-043:same-phase/integration-after-component-fixes
TASK-049,5,Phase 4 - Lower and Emit,4,compiler/02_source + compiler/05_codegen,compiler/02_source + compiler/05_codegen,6,6,0,"7289,7506,7509,7512-7513,7612","TASK-002,TASK-032,TASK-035,TASK-043,TASK-053",TASK-002:phase-prerequisite/component-surface; TASK-035:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-053:same-phase/integration-after-component-fixes; TASK-043:same-phase/integration-after-component-fixes
TASK-057,5,Phase 4 - Lower and Emit,4,compiler/02_source + compiler/04_analysis + compiler/05_codegen,compiler/02_source + compiler/04_analysis + compiler/05_codegen,2,2,0,"7511,8782","TASK-002,TASK-005,TASK-027,TASK-032,TASK-035,TASK-043,TASK-047,TASK-053",TASK-002:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-035:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-053:same-phase/integration-after-component-fixes; TASK-047:same-phase/integration-after-component-fixes; TASK-043:same-phase/integration-after-component-fixes
TASK-061,5,Phase 4 - Lower and Emit,4,compiler/00_core + compiler/04_analysis,compiler/00_core + compiler/04_analysis,1,1,0,7245,"TASK-004,TASK-005,TASK-029,TASK-047,TASK-054",TASK-004:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-029:phase-prerequisite/exact-surface; TASK-054:same-phase/integration-after-component-fixes; TASK-047:same-phase/integration-after-component-fixes
TASK-063,5,Phase 4 - Lower and Emit,4,compiler/04_analysis + runtime/src/concurrency,compiler/04_analysis + runtime/src/concurrency,1,1,0,7449,"TASK-005,TASK-036,TASK-047",TASK-005:phase-prerequisite/component-surface; TASK-036:phase-prerequisite/exact-surface; TASK-047:same-phase/integration-after-component-fixes
TASK-068,5,Runtime / Non-Compilation Semantics,5,unmapped/no-compiler-location,unmapped/no-compiler-location,112,0,112,"8807-8808,8826,8828,8836-8837,8839,8843-8844,8846-8847,8849-8853,8861,8903,8905-8909,8911-8920,8922,8926-8947,8958-8961,8971-8975,8979,8988-8990,8999-9002,9004-9005,9007,9012,9017-9018,9026-9027,9151-9153,9155-9162,9164-9165,9181-9184,9191-9202,9216,9252","TASK-001,TASK-028,TASK-044",TASK-001:phase-prerequisite/exact-surface; TASK-028:phase-prerequisite/exact-surface; TASK-044:phase-prerequisite/exact-surface
TASK-069,5,Runtime / Non-Compilation Semantics,5,compiler/04_analysis,compiler/04_analysis,39,26,13,"8791-8794,8806,9074,9096,9100,9124,9133,9139,9205,9207,9211,9213-9214,9250-9251,9255-9256,9267,9281,9288,9291,9294-9295,9316,9318-9320,9333,9723,10142,10147,10155-10156,10160,10225,10235","TASK-005,TASK-027,TASK-047",TASK-005:phase-prerequisite/exact-surface; TASK-027:phase-prerequisite/exact-surface; TASK-047:phase-prerequisite/exact-surface
TASK-082,5,Runtime / Non-Compilation Semantics,5,compiler/00_core + compiler/05_codegen,compiler/00_core + compiler/05_codegen,3,3,0,"8835,8867,8873","TASK-004,TASK-041,TASK-052,TASK-067,TASK-081",TASK-004:phase-prerequisite/component-surface; TASK-041:phase-prerequisite/exact-surface; TASK-052:phase-prerequisite/exact-surface; TASK-081:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes
TASK-089,5,Runtime / Non-Compilation Semantics,5,compiler/00_core + compiler/01_project,compiler/00_core + compiler/01_project,1,1,0,8872,"TASK-003,TASK-004,TASK-039,TASK-051,TASK-081",TASK-004:phase-prerequisite/component-surface; TASK-003:phase-prerequisite/component-surface; TASK-039:phase-prerequisite/component-surface; TASK-051:phase-prerequisite/exact-surface; TASK-081:same-phase/integration-after-component-fixes
TASK-090,5,Runtime / Non-Compilation Semantics,5,compiler/00_core + compiler/01_project + compiler/05_codegen,compiler/00_core + compiler/01_project + compiler/05_codegen,1,1,0,8871,"TASK-003,TASK-004,TASK-032,TASK-039,TASK-043,TASK-045,TASK-054,TASK-067,TASK-081",TASK-004:phase-prerequisite/component-surface; TASK-003:phase-prerequisite/component-surface; TASK-039:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-054:phase-prerequisite/component-surface; TASK-045:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-081:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes
TASK-092,5,Runtime / Non-Compilation Semantics,5,compiler/00_core + compiler/05_codegen + runtime/src/concurrency,compiler/00_core + compiler/05_codegen + runtime/src/concurrency,1,1,0,8829,"TASK-004,TASK-032,TASK-038,TASK-039,TASK-043,TASK-054,TASK-067,TASK-073,TASK-081",TASK-004:phase-prerequisite/component-surface; TASK-039:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-038:phase-prerequisite/component-surface; TASK-054:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-081:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes; TASK-073:same-phase/integration-after-component-fixes
TASK-071,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + compiler/05_codegen,compiler/04_analysis + compiler/05_codegen,34,9,25,"8810-8811,8842,8848,9695,9731,9770,9780,9791,9857,9883-9885,9901,9996,10117-10118,10124,10135-10137,10141,10149,10151-10154,10163,10165,10173-10174,10176,10182,10237","TASK-005,TASK-030,TASK-046,TASK-067,TASK-069",TASK-005:phase-prerequisite/component-surface; TASK-030:phase-prerequisite/exact-surface; TASK-046:phase-prerequisite/exact-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes
TASK-076,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + compiler/05_codegen + runtime/src/concurrency,compiler/04_analysis + compiler/05_codegen + runtime/src/concurrency,6,2,4,"10183,10191,10199,10266-10267,10276","TASK-005,TASK-033,TASK-043,TASK-047,TASK-067,TASK-069,TASK-073",TASK-005:phase-prerequisite/component-surface; TASK-033:phase-prerequisite/exact-surface; TASK-047:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes; TASK-073:same-phase/integration-after-component-fixes
TASK-077,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + runtime/src/concurrency,compiler/04_analysis + runtime/src/concurrency,5,3,2,"10161,10255,10272,10288,10318","TASK-005,TASK-036,TASK-063,TASK-069,TASK-073",TASK-005:phase-prerequisite/component-surface; TASK-036:phase-prerequisite/exact-surface; TASK-063:phase-prerequisite/exact-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-073:same-phase/integration-after-component-fixes
TASK-079,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + runtime/src/context,compiler/04_analysis + runtime/src/context,4,3,1,"10223-10224,10227,10231","TASK-005,TASK-027,TASK-047,TASK-059,TASK-069,TASK-102",TASK-005:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-047:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes
TASK-083,6,Runtime / Non-Compilation Semantics,5,compiler/02_source + compiler/04_analysis,compiler/02_source + compiler/04_analysis,3,3,0,9310-9312,"TASK-006,TASK-031,TASK-047,TASK-053,TASK-069",TASK-006:phase-prerequisite/exact-surface; TASK-031:phase-prerequisite/exact-surface; TASK-053:phase-prerequisite/component-surface; TASK-047:phase-prerequisite/component-surface; TASK-069:same-phase/integration-after-component-fixes
TASK-086,6,Runtime / Non-Compilation Semantics,5,compiler/00_core + compiler/04_analysis,compiler/00_core + compiler/04_analysis,2,1,1,"8809,9710","TASK-004,TASK-005,TASK-029,TASK-061,TASK-069,TASK-081",TASK-004:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-029:phase-prerequisite/exact-surface; TASK-061:phase-prerequisite/exact-surface; TASK-081:same-phase/integration-after-component-fixes; TASK-069:same-phase/integration-after-component-fixes
TASK-087,6,Runtime / Non-Compilation Semantics,5,compiler/02_source + compiler/05_codegen,compiler/02_source + compiler/05_codegen,2,1,1,"10125,10150","TASK-002,TASK-032,TASK-035,TASK-049,TASK-067",TASK-002:phase-prerequisite/component-surface; TASK-035:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-049:phase-prerequisite/exact-surface; TASK-067:same-phase/integration-after-component-fixes
TASK-091,6,Runtime / Non-Compilation Semantics,5,compiler/00_core + compiler/04_analysis + compiler/05_codegen,compiler/00_core + compiler/04_analysis + compiler/05_codegen,1,0,1,9714,"TASK-004,TASK-005,TASK-027,TASK-032,TASK-039,TASK-043,TASK-047,TASK-054,TASK-067,TASK-069,TASK-081",TASK-004:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-039:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-054:phase-prerequisite/component-surface; TASK-047:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-081:same-phase/integration-after-component-fixes; TASK-069:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes
TASK-094,6,Runtime / Non-Compilation Semantics,5,compiler/02_source + compiler/04_analysis + compiler/05_codegen,compiler/02_source + compiler/04_analysis + compiler/05_codegen,1,0,1,10148,"TASK-002,TASK-005,TASK-027,TASK-032,TASK-035,TASK-057,TASK-067,TASK-069",TASK-002:phase-prerequisite/component-surface; TASK-005:phase-prerequisite/component-surface; TASK-035:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-057:phase-prerequisite/exact-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes
TASK-095,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + compiler/05_codegen + runtime/src/context,compiler/04_analysis + compiler/05_codegen + runtime/src/context,1,1,0,10234,"TASK-005,TASK-027,TASK-032,TASK-043,TASK-047,TASK-059,TASK-067,TASK-069,TASK-102",TASK-005:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-047:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes
TASK-096,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + compiler/05_codegen + runtime/src/network,compiler/04_analysis + compiler/05_codegen + runtime/src/network,1,1,0,9015,"TASK-005,TASK-027,TASK-032,TASK-043,TASK-047,TASK-067,TASK-069",TASK-005:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-032:phase-prerequisite/component-surface; TASK-047:phase-prerequisite/component-surface; TASK-043:phase-prerequisite/component-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-067:same-phase/integration-after-component-fixes
TASK-097,6,Runtime / Non-Compilation Semantics,5,compiler/04_analysis + runtime/src/concurrency + runtime/src/context,compiler/04_analysis + runtime/src/concurrency + runtime/src/context,1,0,1,10226,"TASK-005,TASK-027,TASK-038,TASK-047,TASK-059,TASK-069,TASK-073,TASK-102",TASK-005:phase-prerequisite/component-surface; TASK-027:phase-prerequisite/component-surface; TASK-038:phase-prerequisite/component-surface; TASK-047:phase-prerequisite/component-surface; TASK-059:phase-prerequisite/component-surface; TASK-069:same-phase/integration-after-component-fixes; TASK-073:same-phase/integration-after-component-fixes; TASK-102:same-phase/integration-after-component-fixes
