"implemented","rule name","rule content","spec location","compiler location"
"","ResolveSpawnOpts-Cons","**(ResolveSpawnOpts-Cons)**
Γ ⊢ ResolveSpawnOpt(o) ⇓ o'    Γ ⊢ ResolveSpawnOpts(os) ⇓ os'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveSpawnOpts(o :: os) ⇓ o' :: os'","CursiveSpecification.md:5309-5312",""
"","ResolveDispatchOptJudg","ResolveDispatchOptJudg = {ResolveDispatchOpt, ResolveDispatchOpts}","CursiveSpecification.md:5314",""
"","ResolveDispatchOpt-Reduce","**(ResolveDispatchOpt-Reduce)**
──────────────────────────────────────────────
Γ ⊢ ResolveDispatchOpt(Reduce(op)) ⇓ Reduce(op)","CursiveSpecification.md:5316-5318",""
"","ResolveDispatchOpt-Ordered","**(ResolveDispatchOpt-Ordered)**
──────────────────────────────────────────────
Γ ⊢ ResolveDispatchOpt(Ordered) ⇓ Ordered","CursiveSpecification.md:5320-5322",""
"","ResolveDispatchOpt-Chunk","**(ResolveDispatchOpt-Chunk)**
Γ ⊢ ResolveExpr(e) ⇓ e'
──────────────────────────────────────────────────────────────
Γ ⊢ ResolveDispatchOpt(Chunk(e)) ⇓ Chunk(e')","CursiveSpecification.md:5324-5327",""
"","ResolveDispatchOpts-Empty","**(ResolveDispatchOpts-Empty)**
──────────────────────────────────────────────
Γ ⊢ ResolveDispatchOpts([]) ⇓ []","CursiveSpecification.md:5329-5331",""
"","ResolveDispatchOpts-Cons","**(ResolveDispatchOpts-Cons)**
Γ ⊢ ResolveDispatchOpt(o) ⇓ o'    Γ ⊢ ResolveDispatchOpts(os) ⇓ os'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveDispatchOpts(o :: os) ⇓ o' :: os'","CursiveSpecification.md:5333-5336",""
"","ResolveRaceJudg","ResolveRaceJudg = {ResolveRaceArm, ResolveRaceArms, ResolveRaceHandler}","CursiveSpecification.md:5338",""
"","ResolveRaceHandler-Return","**(ResolveRaceHandler-Return)**
Γ ⊢ ResolveExpr(e) ⇓ e'
──────────────────────────────────────────────
Γ ⊢ ResolveRaceHandler(RaceReturn(e)) ⇓ RaceReturn(e')","CursiveSpecification.md:5340-5343",""
"","ResolveRaceHandler-Yield","**(ResolveRaceHandler-Yield)**
Γ ⊢ ResolveExpr(e) ⇓ e'
──────────────────────────────────────────────
Γ ⊢ ResolveRaceHandler(RaceYield(e)) ⇓ RaceYield(e')","CursiveSpecification.md:5345-5348",""
"","ResolveRaceArm","**(ResolveRaceArm)**
Γ ⊢ ResolveExpr(e) ⇓ e'    Γ_0 = PushScope(Γ)    Γ_0 ⊢ ResolvePattern(pat) ⇓ pat'    Γ_0 ⊢ BindPattern(pat') ⇓ Γ_1    Γ_1 ⊢ ResolveRaceHandler(handler) ⇓ handler'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveRaceArm(⟨e, pat, handler⟩) ⇓ ⟨e', pat', handler'⟩","CursiveSpecification.md:5350-5353",""
"","ResolveRaceArms-Empty","**(ResolveRaceArms-Empty)**
──────────────────────────────────────────────
Γ ⊢ ResolveRaceArms([]) ⇓ []","CursiveSpecification.md:5355-5357",""
"","ResolveRaceArms-Cons","**(ResolveRaceArms-Cons)**
Γ ⊢ ResolveRaceArm(a) ⇓ a'    Γ ⊢ ResolveRaceArms(as) ⇓ as'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveRaceArms(a :: as) ⇓ a' :: as'","CursiveSpecification.md:5359-5362",""
"","ResolveAllExprListJudg","ResolveAllExprListJudg = {ResolveAllExprList}","CursiveSpecification.md:5364",""
"","ResolveAllExprList-Empty","**(ResolveAllExprList-Empty)**
──────────────────────────────────────────────
Γ ⊢ ResolveAllExprList([]) ⇓ []","CursiveSpecification.md:5366-5368",""
"","ResolveAllExprList-Cons","**(ResolveAllExprList-Cons)**
Γ ⊢ ResolveExpr(e) ⇓ e'    Γ ⊢ ResolveAllExprList(es) ⇓ es'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveAllExprList(e :: es) ⇓ e' :: es'","CursiveSpecification.md:5370-5373",""
"","ResolveCalleeJudg","ResolveCalleeJudg = {ResolveCallee}","CursiveSpecification.md:5375",""
"","ResolveCallee-Ident-Value","**(ResolveCallee-Ident-Value)**
Γ ⊢ ResolveValueName(x) ⇓ ent
────────────────────────────────────────────────────────────────
Γ ⊢ ResolveCallee(Identifier(x), args) ⇓ Identifier(x)","CursiveSpecification.md:5377-5380",""
"","ResolveCallee-Ident-Record","**(ResolveCallee-Ident-Record)**
Γ ⊢ ResolveValueName(x) ⇑    args = []    Γ ⊢ ResolveTypeName(x) ⇓ ent    ent.origin_opt = p    name = (ent.target_opt if present, else x)    RecordDecl(FullPath(PathOfModule(p), name)) = R
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveCallee(Identifier(x), args) ⇓ Identifier(x)","CursiveSpecification.md:5382-5385",""
"","ResolveCallee-Path-Value","**(ResolveCallee-Path-Value)**
Γ ⊢ ResolveQualified(path, name, ValueKind) ⇓ ent
──────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveCallee(Path(path, name), args) ⇓ Path(path, name)","CursiveSpecification.md:5387-5390",""
"","ResolveCallee-Path-Builtin","**(ResolveCallee-Path-Builtin)**
BuiltinValuePath(path, name)
──────────────────────────────────────────────
Γ ⊢ ResolveCallee(Path(path, name), args) ⇓ Path(path, name)","CursiveSpecification.md:5392-5395",""
"","ResolveCallee-Path-Record","**(ResolveCallee-Path-Record)**
Γ ⊢ ResolveRecordPath(path, name) ⇓ p    args = []
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveCallee(Path(path, name), args) ⇓ Path(path, name)","CursiveSpecification.md:5397-5400",""
"","ResolveCallee-Other","**(ResolveCallee-Other)**
Γ ⊢ ResolveExpr(callee) ⇓ callee'
──────────────────────────────────────────────────────────────
Γ ⊢ ResolveCallee(callee, args) ⇓ callee'","CursiveSpecification.md:5402-5405",""
"","ResolveExpr-Call","**(ResolveExpr-Call)**
Γ ⊢ ResolveArgs(args) ⇓ args'    Γ ⊢ ResolveCallee(callee, args') ⇓ callee'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(Call(callee, args)) ⇓ Call(callee', args')","CursiveSpecification.md:5407-5410",""
"","ResolveExpr-Call-TypeArgs","**(ResolveExpr-Call-TypeArgs)**
Γ ⊢ ResolveTypeList(type_args) ⇓ type_args'    Γ ⊢ ResolveArgs(args) ⇓ args'    Γ ⊢ ResolveCallee(callee, args') ⇓ callee'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(CallTypeArgs(callee, type_args, args)) ⇓ CallTypeArgs(callee', type_args', args')","CursiveSpecification.md:5412-5415",""
"","ResolveExpr-RecordExpr","**(ResolveExpr-RecordExpr)**
Γ ⊢ ResolveTypeRef(tr) ⇓ tr'    Γ ⊢ ResolveFieldInits(fields) ⇓ fields'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(RecordExpr(tr, fields)) ⇓ RecordExpr(tr', fields')","CursiveSpecification.md:5417-5420",""
"","ResolveExpr-EnumLiteral","**(ResolveExpr-EnumLiteral)**
Γ ⊢ ResolveEnumPayload(payload_opt) ⇓ payload_opt'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(EnumLiteral(path, payload_opt)) ⇓ EnumLiteral(path, payload_opt')","CursiveSpecification.md:5422-5425",""
"","ResolveIfCaseJudg","ResolveIfCaseJudg = {ResolveIfCase, ResolveIfCases, ResolveElseBlockOpt}","CursiveSpecification.md:5427",""
"","ResolveIfCase","**(ResolveIfCase)**
Γ_0 = PushScope(Γ)    Γ_0 ⊢ ResolvePattern(p) ⇓ p'    Γ_0 ⊢ BindPattern(p') ⇓ Γ_1    Γ_1 ⊢ ResolveExpr(b) ⇓ b'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveIfCase(⟨p, b⟩) ⇓ ⟨p', b'⟩","CursiveSpecification.md:5429-5432",""
"","ResolveIfCases-Empty","**(ResolveIfCases-Empty)**
────────────────────────────────────────────────
Γ ⊢ ResolveIfCases([]) ⇓ []","CursiveSpecification.md:5434-5436",""
"","ResolveIfCases-Cons","**(ResolveIfCases-Cons)**
Γ ⊢ ResolveIfCase(a) ⇓ a'    Γ ⊢ ResolveIfCases(as) ⇓ as'
────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveIfCases(a :: as) ⇓ a' :: as'","CursiveSpecification.md:5438-5441",""
"","ResolveElseBlockOpt-None","**(ResolveElseBlockOpt-None)**
──────────────────────────────────────────────
Γ ⊢ ResolveElseBlockOpt(⊥) ⇓ ⊥","CursiveSpecification.md:5443-5445",""
"","ResolveElseBlockOpt-Some","**(ResolveElseBlockOpt-Some)**
Γ ⊢ ResolveExpr(b) ⇓ b'
──────────────────────────────────────────────
Γ ⊢ ResolveElseBlockOpt(b) ⇓ b'","CursiveSpecification.md:5447-5450",""
"","ResolveExpr-IfIs","**(ResolveExpr-IfIs)**
Γ ⊢ ResolveExpr(scrutinee) ⇓ scrutinee'    Γ ⊢ ResolvePattern(pat) ⇓ pat'    Γ_0 = PushScope(Γ)    Γ_0 ⊢ BindPattern(pat') ⇓ Γ_1    Γ_1 ⊢ ResolveExpr(then_block) ⇓ then_block'    Γ ⊢ ResolveElseBlockOpt(else_opt) ⇓ else_opt'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(IfIsExpr(scrutinee, pat, then_block, else_opt)) ⇓ IfIsExpr(scrutinee', pat', then_block', else_opt')","CursiveSpecification.md:5452-5455",""
"","ResolveExpr-IfCase","**(ResolveExpr-IfCase)**
Γ ⊢ ResolveExpr(scrutinee) ⇓ scrutinee'    Γ ⊢ ResolveIfCases(cases) ⇓ cases'    Γ ⊢ ResolveElseBlockOpt(else_opt) ⇓ else_opt'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(IfCaseExpr(scrutinee, cases, else_opt)) ⇓ IfCaseExpr(scrutinee', cases', else_opt')","CursiveSpecification.md:5457-5460",""
"","ResolveExpr-LoopInfinite","**(ResolveExpr-LoopInfinite)**
Γ ⊢ ResolveInvariantOpt(inv_opt) ⇓ inv_opt'    Γ ⊢ ResolveExpr(body) ⇓ body'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(LoopInfinite(inv_opt, body)) ⇓ LoopInfinite(inv_opt', body')","CursiveSpecification.md:5462-5465",""
"","ResolveExpr-LoopConditional","**(ResolveExpr-LoopConditional)**
Γ ⊢ ResolveExpr(cond) ⇓ cond'    Γ ⊢ ResolveInvariantOpt(inv_opt) ⇓ inv_opt'    Γ ⊢ ResolveExpr(body) ⇓ body'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(LoopConditional(cond, inv_opt, body)) ⇓ LoopConditional(cond', inv_opt', body')","CursiveSpecification.md:5467-5470",""
"","ResolveExpr-LoopIter","**(ResolveExpr-LoopIter)**
Γ ⊢ ResolvePattern(pat) ⇓ pat'    Γ ⊢ ResolveTypeOpt(ty_opt) ⇓ ty_opt'    Γ ⊢ ResolveExpr(iter) ⇓ iter'    Γ ⊢ ResolveInvariantOpt(inv_opt) ⇓ inv_opt'    Γ_0 = PushScope(Γ)    Γ_0 ⊢ BindPattern(pat') ⇓ Γ_1    Γ_1 ⊢ ResolveExpr(body) ⇓ body'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(LoopIter(pat, ty_opt, iter, inv_opt, body)) ⇓ LoopIter(pat', ty_opt', iter', inv_opt', body')","CursiveSpecification.md:5472-5475",""
"","ResolveExpr-Parallel","**(ResolveExpr-Parallel)**
Γ ⊢ ResolveExpr(domain) ⇓ domain'    Γ ⊢ ResolveParallelOpts(opts) ⇓ opts'    Γ ⊢ ResolveExpr(body) ⇓ body'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(ParallelExpr(domain, opts, body)) ⇓ ParallelExpr(domain', opts', body')","CursiveSpecification.md:5477-5480",""
"","ResolveExpr-Spawn","**(ResolveExpr-Spawn)**
Γ ⊢ ResolveSpawnOpts(opts) ⇓ opts'    Γ ⊢ ResolveExpr(body) ⇓ body'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(SpawnExpr(opts, body)) ⇓ SpawnExpr(opts', body')","CursiveSpecification.md:5482-5485",""
"","ResolveExpr-Wait","**(ResolveExpr-Wait)**
Γ ⊢ ResolveExpr(handle) ⇓ handle'
────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(WaitExpr(handle)) ⇓ WaitExpr(handle')","CursiveSpecification.md:5487-5490",""
"","ResolveKeyClauseJudg","ResolveKeyClauseJudg = {ResolveKeyClauseOpt}","CursiveSpecification.md:5492",""
"","ResolveKeyClauseOpt-None","**(ResolveKeyClauseOpt-None)**
key_clause_opt = ⊥
──────────────────────────────────────────────
Γ ⊢ ResolveKeyClauseOpt(key_clause_opt) ⇓ ⊥","CursiveSpecification.md:5494-5497",""
"","ResolveKeyClauseOpt-Yes","**(ResolveKeyClauseOpt-Yes)**
key_clause_opt = ⟨path, mode⟩    Γ ⊢ ResolveKeyPathExpr(path) ⇓ path'
────────────────────────────────────────────────────────────────
Γ ⊢ ResolveKeyClauseOpt(key_clause_opt) ⇓ ⟨path', mode⟩","CursiveSpecification.md:5499-5502",""
"","ResolveExpr-Dispatch","**(ResolveExpr-Dispatch)**
Γ ⊢ ResolvePattern(pat) ⇓ pat'    Γ ⊢ ResolveExpr(range) ⇓ range'    Γ ⊢ ResolveKeyClauseOpt(key_clause_opt) ⇓ key_clause_opt'    Γ ⊢ ResolveDispatchOpts(opts) ⇓ opts'    Γ_0 = PushScope(Γ)    Γ_0 ⊢ BindPattern(pat') ⇓ Γ_1    Γ_1 ⊢ ResolveExpr(body) ⇓ body'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(DispatchExpr(pat, range, key_clause_opt, opts, body)) ⇓ DispatchExpr(pat', range', key_clause_opt', opts', body')","CursiveSpecification.md:5504-5507",""
"","ResolveExpr-Yield","**(ResolveExpr-Yield)**
Γ ⊢ ResolveExpr(e) ⇓ e'
──────────────────────────────────────────────
Γ ⊢ ResolveExpr(YieldExpr(release_opt, e)) ⇓ YieldExpr(release_opt, e')","CursiveSpecification.md:5509-5512",""
"","ResolveExpr-YieldFrom","**(ResolveExpr-YieldFrom)**
Γ ⊢ ResolveExpr(e) ⇓ e'
──────────────────────────────────────────────
Γ ⊢ ResolveExpr(YieldFromExpr(release_opt, e)) ⇓ YieldFromExpr(release_opt, e')","CursiveSpecification.md:5514-5517",""
"","ResolveExpr-Sync","**(ResolveExpr-Sync)**
Γ ⊢ ResolveExpr(e) ⇓ e'
──────────────────────────────────────────────
Γ ⊢ ResolveExpr(SyncExpr(e)) ⇓ SyncExpr(e')","CursiveSpecification.md:5519-5522",""
"","ResolveExpr-Race","**(ResolveExpr-Race)**
Γ ⊢ ResolveRaceArms(arms) ⇓ arms'
──────────────────────────────────────────────
Γ ⊢ ResolveExpr(RaceExpr(arms)) ⇓ RaceExpr(arms')","CursiveSpecification.md:5524-5527",""
"","ResolveExpr-All","**(ResolveExpr-All)**
Γ ⊢ ResolveAllExprList(es) ⇓ es'
──────────────────────────────────────────────
Γ ⊢ ResolveExpr(AllExpr(es)) ⇓ AllExpr(es')","CursiveSpecification.md:5529-5532",""
"","ResolveExpr-Alloc-Explicit-ByAlias","**(ResolveExpr-Alloc-Explicit-ByAlias)**
Γ ⊢ ResolveValueName(r) ⇓ ent    RegionAlias(ent)    Γ ⊢ ResolveExpr(e) ⇓ e'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(Binary(""^"", Identifier(r), e)) ⇓ AllocExpr(r, e')","CursiveSpecification.md:5534-5537",""
"","ResolveExprRules","ResolveExprRules = {ResolveExpr-Ident, ResolveExpr-Qualified, ResolveExpr-Call, ResolveExpr-Call-TypeArgs, ResolveExpr-RecordExpr, ResolveExpr-EnumLiteral, ResolveExpr-IfCase, ResolveExpr-LoopIter, ResolveExpr-Parallel, ResolveExpr-Spawn, ResolveExpr-Wait, ResolveExpr-Dispatch, ResolveExpr-Yield, ResolveExpr-YieldFrom, ResolveExpr-Sync, ResolveExpr-Race, ResolveExpr-All, ResolveExpr-Alloc-Explicit-ByAlias, ResolveExpr-Hom, ResolveExpr-Alloc-Implicit, ResolveExpr-Alloc-Explicit, ResolveExpr-Block}","CursiveSpecification.md:5539",""
"","NoSpecificResolveExpr(e)","NoSpecificResolveExpr(e) ⇔ ¬ ∃ r ∈ ResolveExprRules \ {ResolveExpr-Hom}. PremisesHold(r, e)","CursiveSpecification.md:5541",""
"","ResolveExpr-Hom","**(ResolveExpr-Hom)**
NoSpecificResolveExpr(C(e_1, …, e_n))    ∀ i, Γ ⊢ ResolveExpr(e_i) ⇓ e_i'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(C(e_1, …, e_n)) ⇓ C(e_1', …, e_n')","CursiveSpecification.md:5543-5546",""
"","ResolveExpr-Alloc-Implicit","**(ResolveExpr-Alloc-Implicit)**
Γ ⊢ ResolveExpr(e) ⇓ e'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(AllocExpr(⊥, e)) ⇓ AllocExpr(⊥, e')","CursiveSpecification.md:5548-5551",""
"","ResolveExpr-Alloc-Explicit","**(ResolveExpr-Alloc-Explicit)**
Γ ⊢ ResolveValueName(r) ⇓ ent    Γ ⊢ ResolveExpr(e) ⇓ e'
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(AllocExpr(r, e)) ⇓ AllocExpr(r, e')","CursiveSpecification.md:5553-5556",""
"","ResolveStmtSeqJudg","ResolveStmtSeqJudg = {ResolveStmtSeq}","CursiveSpecification.md:5558",""
"","ResolveStmtSeq-Empty","**(ResolveStmtSeq-Empty)**
────────────────────────────────────────────────────────────────
Γ ⊢ ResolveStmtSeq([]) ⇓ (Γ, [])","CursiveSpecification.md:5560-5562",""
"","ResolveStmtSeq-Cons","**(ResolveStmtSeq-Cons)**
Γ ⊢ ResolveStmt(s) ⇓ (Γ_1, s')    Γ_1 ⊢ ResolveStmtSeq(ss) ⇓ (Γ_2, ss')
────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveStmtSeq(s :: ss) ⇓ (Γ_2, s' :: ss')","CursiveSpecification.md:5564-5567",""
"","ResolveExpr-Block","**(ResolveExpr-Block)**
Γ_0 = PushScope(Γ)    Γ_0 ⊢ ResolveStmtSeq(stmts) ⇓ (Γ_1, stmts')    (tail_opt = ⊥ ⇒ tail_opt' = ⊥)    (tail_opt = e ⇒ Γ_1 ⊢ ResolveExpr(e) ⇓ e' ∧ tail_opt' = e')
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveExpr(BlockExpr(stmts, tail_opt)) ⇓ BlockExpr(stmts', tail_opt')","CursiveSpecification.md:5569-5572",""
"","Validate-ModulePath-Ok","**(Validate-ModulePath-Ok)**
¬ ReservedModulePath(PathOfModule(p))
──────────────────────────────────────────────
Γ ⊢ ValidateModulePath(p) ⇓ ok","CursiveSpecification.md:5574-5577",""
"","Validate-ModulePath-Reserved-Err","**(Validate-ModulePath-Reserved-Err)**
ReservedModulePath(PathOfModule(p))    c = Code(Validate-ModulePath-Reserved-Err)
────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ValidateModulePath(p) ⇑ c","CursiveSpecification.md:5579-5582",""
"","Cursive Language Specification > 7. Name Resolution and Visibility > 7.7 Shared Resolution Helpers and Resolution Pass paragraph @5584","`ResolveItem` is a feature-owned judgment. Chapters 11 through 22 define the feature-specific `ResolveItem` clauses; this chapter defines the shared driver and helper relations they consume.","CursiveSpecification.md:5584",""
"","ResolveModule-Ok","**(ResolveModule-Ok)**
Γ ⊢ CollectNames(M) ⇓ N    Γ ⊢ ValidateModulePath(M.path) ⇓ ok    Γ ⊢ ValidateModuleNames(N) ⇓ ok    S_module = N    Γ_N = [S_module, S_universe]    Γ_N ⊢ ResolveItems(M.items) ⇓ items'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveModule(M) ⇓ ⟨M.path, items', M.module_doc⟩","CursiveSpecification.md:5586-5589",""
"","Γ","Γ ⊢ ResolveItems([]) ⇓ []","CursiveSpecification.md:5591",""
"","ResolveItems-Cons","**(ResolveItems-Cons)**
Γ ⊢ TopLevelVis(it) ⇓ ok    Γ ⊢ ResolveItem(it) ⇓ it'    Γ ⊢ ResolveItems(rest) ⇓ rest'
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveItems(it :: rest) ⇓ it' :: rest'","CursiveSpecification.md:5593-5596",""
"","ResState","ResState = {ResStart(M), ResNames(M, N), ResItems(M, N), ResDone(M'), Error(code)}","CursiveSpecification.md:5598",""
"","Res-Start","**(Res-Start)**
──────────────────────────────────────────────
⟨ResStart(M)⟩ → ⟨ResNames(M, _)⟩","CursiveSpecification.md:5600-5602",""
"","Res-Names","**(Res-Names)**
Γ ⊢ CollectNames(M) ⇓ N
──────────────────────────────────────────────────────────────
⟨ResNames(M, _)⟩ → ⟨ResItems(M, N)⟩","CursiveSpecification.md:5604-5607",""
"","Res-Items","**(Res-Items)**
Γ ⊢ ResolveModule(M) ⇓ M'
──────────────────────────────────────────────────────────────
⟨ResItems(M, N)⟩ → ⟨ResDone(M')⟩","CursiveSpecification.md:5609-5612",""
"","Cursive Language Specification > 7. Name Resolution and Visibility > 7.7 Shared Resolution Helpers and Resolution Pass paragraph @5614","**ResolveModules (Big-Step).**","CursiveSpecification.md:5614",""
"","ResolveModules-Ok","**(ResolveModules-Ok)**
Γ ⊢ ParseModules(P) ⇓ [M_1, …, M_k]    ∀ i, Γ ⊢ ResolveModule(M_i) ⇓ M_i'
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveModules(P) ⇓ [M_1', …, M_k']","CursiveSpecification.md:5616-5619",""
"","ResolveModules-Err-Parse","**(ResolveModules-Err-Parse)**
Γ ⊢ ParseModules(P) ⇑ c
──────────────────────────────────────────────────────────────
Γ ⊢ ResolveModules(P) ⇑ c","CursiveSpecification.md:5621-5624",""
"","ResolveModules-Err-Resolve","**(ResolveModules-Err-Resolve)**
Γ ⊢ ParseModules(P) ⇓ [M_1, …, M_k]    ∃ i. Γ ⊢ ResolveModule(M_i) ⇑ c
────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ResolveModules(P) ⇑ c","CursiveSpecification.md:5626-5629",""
"","Cursive Language Specification > 7. Name Resolution and Visibility > 7.8 Name Resolution and Reserved Name Diagnostics paragraph @5633","This section owns name-resolution, shadowing, visibility, and reserved-name diagnostics.","CursiveSpecification.md:5633",""
"","`E-CNF-0403`","Code=`E-CNF-0403` | Severity=Error | Detection=Compile-time | Condition=Primitive type name shadowed at module scope","CursiveSpecification.md:5637",""
"","`E-CNF-0404`","Code=`E-CNF-0404` | Severity=Error | Detection=Compile-time | Condition=Shadowing of `Self`, `Drop`, `Bitcopy`, `Clone`, `Eq`, `Hash`, `Hasher`, `Iterator`, `Step`, `FfiSafe`, `string`, `bytes`, `Modal`, `Region`, `RegionOptions`, `CancelToken`, `Context`, `System`, `Network`, `ExecutionDomain`, `CpuSet`, `Priority`, or `Reactor`","CursiveSpecification.md:5638",""
"","`E-CNF-0405`","Code=`E-CNF-0405` | Severity=Error | Detection=Compile-time | Condition=Shadowing of async type alias (`Async`, `Future`, `Sequence`, `Stream`, `Pipe`, `Exchange`, `Tracked`)","CursiveSpecification.md:5639",""
"","`E-CNF-0406`","Code=`E-CNF-0406` | Severity=Error | Detection=Compile-time | Condition=User declaration uses `gen_` prefix","CursiveSpecification.md:5640",""
"","`E-MOD-1203`","Code=`E-MOD-1203` | Severity=Error | Detection=Compile-time | Condition=Name introduced by `using` or `import as` conflicts with existing","CursiveSpecification.md:5641",""
"","`E-MOD-1207`","Code=`E-MOD-1207` | Severity=Error | Detection=Compile-time | Condition=Cannot access a non-public item from this scope","CursiveSpecification.md:5642",""
"","`E-MOD-1301`","Code=`E-MOD-1301` | Severity=Error | Detection=Compile-time | Condition=Unresolved name: identifier not found in any accessible scope","CursiveSpecification.md:5643",""
"","`E-MOD-1302`","Code=`E-MOD-1302` | Severity=Error | Detection=Compile-time | Condition=Duplicate declaration in module scope","CursiveSpecification.md:5644",""
"","`E-MOD-1303`","Code=`E-MOD-1303` | Severity=Error | Detection=Compile-time | Condition=Shadowing without `shadow` keyword","CursiveSpecification.md:5645",""
"","`E-MOD-1306`","Code=`E-MOD-1306` | Severity=Error | Detection=Compile-time | Condition=Unnecessary `shadow` keyword: no binding is being shadowed","CursiveSpecification.md:5646",""
"","`E-MOD-1307`","Code=`E-MOD-1307` | Severity=Error | Detection=Compile-time | Condition=Ambiguous method resolution; disambiguation required","CursiveSpecification.md:5647",""
"","TypeEqJudg","TypeEqJudg = {≡}","CursiveSpecification.md:5653",""
"","ConstLenJudg","ConstLenJudg = {ConstLen}","CursiveSpecification.md:5654",""
"","ConstLen-Lit","**(ConstLen-Lit)**
e = Literal(lit)    lit.kind = IntLiteral    InRange(IntValue(lit), ""usize"")    n = IntValue(lit)
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ConstLen(e) ⇓ n","CursiveSpecification.md:5656-5659",""
"","ConstLen-Path","**(ConstLen-Path)**
e = Path(path, name)    ValuePathType(path, name) = T    StaticDecl(_, _, _, ⟨IdentPattern(name), _, ""="", init, _⟩, _, _) ∈ Γ    Γ ⊢ ConstLen(init) ⇓ n
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ConstLen(e) ⇓ n","CursiveSpecification.md:5661-5664",""
"","ConstLen-Err","**(ConstLen-Err)**
¬ ∃ n. Γ ⊢ ConstLen(e) ⇓ n    c = Code(ConstLen-Err)
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ ConstLen(e) ⇑ c","CursiveSpecification.md:5666-5669",""
"","MembersEq([T_1, …, T_n], [U_1, …, U_n])","MembersEq([T_1, …, T_n], [U_1, …, U_n]) ⇔ ∃ U'. Permutation(U', [U_1, …, U_n]) ∧ ∀ i. 0 ≤ i < n ⇒ Γ ⊢ T_i ≡ U'[i]","CursiveSpecification.md:5671",""
