row_id,task_id,responsibility,shared_work_surface,status,rule name,spec location,compiler location,rule content
3254,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,param_type_list,CursiveSpecification.md:29349,/mnt/c/dev/cursive/cursive/src/02_source/parser/type/function_type.cpp:86-112; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/closure_type.cpp:60-97,"param_type_list      ::= param_type ("","" param_type)*"
3255,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,param_type,CursiveSpecification.md:29350,/mnt/c/dev/cursive/cursive/src/02_source/parser/type/function_type.cpp:59-79; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/closure_type.cpp:40-58,"param_type           ::= ""move""? type"
3264,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,type_arg_list,CursiveSpecification.md:29360,/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_args.cpp:28-63,"type_arg_list      ::= type ("","" type)*"
3265,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,turbofish,CursiveSpecification.md:29361,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/call_type_args.cpp:84-128,"turbofish          ::= ""::"" generic_args"
3266,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,refinement_type,CursiveSpecification.md:29363,/mnt/c/dev/cursive/cursive/src/02_source/parser/type/type_common.cpp:92-104; /mnt/c/dev/cursive/cursive/src/02_source/parser/type/refinement_clause.cpp:29-71,"refinement_type       ::= type ""where"" ""{"" predicate_expr ""}"""
3267,TASK-009,Phase 1 - Parse and Aggregate,unmapped/no-compiler-location,missing,param_with_constraint,CursiveSpecification.md:29364,,"param_with_constraint ::= identifier "":"" type ""where"" ""{"" predicate_expr ""}"""
3296,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,unary_expr,CursiveSpecification.md:29402,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/unary.cpp:226-295,unary_expr     ::= unary_operator unary_expr | pipeline_expr
3297,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,unary_operator,CursiveSpecification.md:29403,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/unary.cpp:228-290,"unary_operator ::= ""!"" | ""-"" | ""&"" | ""*"" | ""^"" | ""move"" | ""widen"""
3300,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,postfix_suffix,CursiveSpecification.md:29407,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:75-207; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/call_type_args.cpp:84-128,"postfix_suffix ::= ""."" identifier | ""."" decimal_literal | ""["" expression ""]"" | ""~>"" identifier ""("" argument_list? "")"" | ""("" argument_list? "")"" | ""?"""
3301,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,primary_expr,CursiveSpecification.md:29409,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/primary.cpp:421-760,primary_expr ::= literal | identifier_expr | path_expr | tuple_literal | array_literal | record_literal | closure_expr | if_expr | loop_expr | block_expr | comptime_expr | quote_expr | quote_type | quote_pattern | type_literal
3306,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,tuple_expr_elements,CursiveSpecification.md:29417,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/tuple_literal.cpp:159-195,"tuple_expr_elements ::= expression "";"" | expression ("","" expression)+"
3307,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,array_literal,CursiveSpecification.md:29418,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/array_literal.cpp:78-153,"array_literal       ::= ""["" expression_list ""]"""
3308,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,expression_list,CursiveSpecification.md:29419,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/array_literal.cpp:38-64,"expression_list     ::= expression ("","" expression)* "",""?"
3309,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,record_literal,CursiveSpecification.md:29420,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/record_literal.cpp:224-260,"record_literal      ::= type_path ""{"" field_init_list ""}"""
3310,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,field_init_list,CursiveSpecification.md:29421,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/record_literal.cpp:76-120,"field_init_list     ::= field_init ("","" field_init)* "",""?"
3312,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,enum_literal,CursiveSpecification.md:29423,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/enum_literal.cpp:5-8; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/enum_literal.cpp:68-75; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/path.cpp:128-175,"enum_literal        ::= type_path ""::"" identifier variant_args?"
3313,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,variant_args,CursiveSpecification.md:29424,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/path.cpp:45-92; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/call.cpp:248-310; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/record_literal.cpp:110-120,"variant_args        ::= ""("" expression_list "")"" | ""{"" field_init_list ""}"""
3314,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,call_expr,CursiveSpecification.md:29426,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:139-160; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/call.cpp:299-336,"call_expr     ::= postfix_expr ""("" argument_list? "")"""
3315,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,argument_list,CursiveSpecification.md:29427,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/call.cpp:266-309,"argument_list ::= argument ("","" argument)* "",""?"
3317,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,method_call,CursiveSpecification.md:29429,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/postfix.cpp:162-193; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/method_call.cpp:135-174,"method_call   ::= postfix_expr ""~>"" identifier ""("" argument_list? "")"""
3318,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,static_call,CursiveSpecification.md:29430,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/qualified_apply.cpp:53-122; /mnt/c/dev/cursive/cursive/src/02_source/ast/nodes/ast_exprs.h:73-78,"static_call   ::= type_path ""::"" identifier ""("" argument_list? "")"""
3319,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,closure_expr,CursiveSpecification.md:29432,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/closure_expr.cpp:121-153,"closure_expr       ::= ""|"" closure_param_list? ""|"" (""->"" type)? closure_body"
3320,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,closure_param_list,CursiveSpecification.md:29433,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/closure_expr.cpp:73-115,"closure_param_list ::= closure_param ("","" closure_param)* "",""?"
3321,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,closure_param,CursiveSpecification.md:29434,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/closure_expr.cpp:45-66,"closure_param      ::= ""move""? identifier ("":"" type)?"
3323,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,if_expr,CursiveSpecification.md:29437,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/if_expr.cpp:201-257,"if_expr        ::= ""if"" expression if_tail"
3324,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,if_tail,CursiveSpecification.md:29438-29440,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/if_expr.cpp:58-75; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/if_expr.cpp:158-257,"if_tail        ::= block_expr (""else"" (block_expr | if_expr))?
                 | ""is"" pattern block_expr (""else"" (block_expr | if_expr))?
                 | ""is"" ""{"" if_case+ if_case_else? ""}"""
3327,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,loop_expr,CursiveSpecification.md:29443,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/primary.cpp:395-412; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/loop_conditional.cpp:192-212; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/loop_iter.cpp:307-347,"loop_expr      ::= ""loop"" loop_condition? loop_invariant? block_expr"
3328,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,loop_condition,CursiveSpecification.md:29444,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/loop_conditional.cpp:192-212; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/loop_iter.cpp:272-347,"loop_condition ::= expression | pattern ("":"" type)? ""in"" expression"
3332,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,widen_expr,CursiveSpecification.md:29450,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/unary.cpp:279-289,"widen_expr       ::= ""widen"" expression"
3336,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,transmute_expr,CursiveSpecification.md:29454,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/transmute_expr.cpp:46-179,"transmute_expr   ::= ""transmute"" ""::"" ""<"" type "","" type "">"" ""("" expression "")"""
3337,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,pattern,CursiveSpecification.md:29460,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:399-565,pattern                ::= literal_pattern | wildcard_pattern | identifier_pattern | tuple_pattern | record_pattern | enum_pattern | modal_pattern | range_pattern
3341,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,tuple_pattern,CursiveSpecification.md:29464,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:165-203; /mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:457-473,"tuple_pattern          ::= ""("" tuple_pattern_elements? "")"""
3342,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,tuple_pattern_elements,CursiveSpecification.md:29465,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:165-203,"tuple_pattern_elements ::= pattern ("","" pattern)* "",""?"
3343,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,record_pattern,CursiveSpecification.md:29466,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:475-495; /mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:310-320,"record_pattern         ::= type_path ""{"" field_pattern_list? ""}"""
3344,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,field_pattern_list,CursiveSpecification.md:29467,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:283-320,"field_pattern_list     ::= field_pattern ("","" field_pattern)* "",""?"
3346,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,enum_pattern,CursiveSpecification.md:29469,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:441-453; /mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:327-360,"enum_pattern                  ::= type_path ""::"" identifier enum_payload_pattern?"
3347,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,enum_payload_pattern,CursiveSpecification.md:29470,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:327-360,"enum_payload_pattern          ::= ""("" enum_payload_pattern_elements? "")"" | ""{"" field_pattern_list? ""}"""
3348,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,enum_payload_pattern_elements,CursiveSpecification.md:29471,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:217-253,"enum_payload_pattern_elements ::= pattern ("","" pattern)* "",""?"
3349,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,modal_pattern,CursiveSpecification.md:29472,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:498-508; /mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:363-381,"modal_pattern          ::= ""@"" identifier (""{"" field_pattern_list? ""}"")?"
3350,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,range_pattern,CursiveSpecification.md:29473,/mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:532-547,"range_pattern          ::= pattern ("".."" | ""..="") pattern"
3351,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,statement,CursiveSpecification.md:29479,/mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/parse_stmt.cpp:163-347,statement ::= binding_decl terminator | assignment_stmt terminator | compound_assign terminator | expr_stmt | return_stmt | break_stmt | continue_stmt | defer_stmt | region_stmt | frame_stmt | unsafe_block | key_block_stmt | comptime_stmt
3352,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,binding_decl,CursiveSpecification.md:29481,/mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/parse_stmt.cpp:163-178,binding_decl     ::= let_decl | var_decl | shadowed_binding
3353,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,let_decl,CursiveSpecification.md:29482,/mnt/c/dev/cursive/cursive/src/02_source/parser/item/static_decl.cpp:68-119; /mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:416-429,"let_decl         ::= ""let"" pattern ("":"" type)? binding_op expression"
3354,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,var_decl,CursiveSpecification.md:29483,/mnt/c/dev/cursive/cursive/src/02_source/parser/item/static_decl.cpp:68-119; /mnt/c/dev/cursive/cursive/src/02_source/parser/pattern/pattern_common.cpp:416-429,"var_decl         ::= ""var"" pattern ("":"" type)? binding_op expression"
3357,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,assignment_stmt,CursiveSpecification.md:29487,/mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/assign_stmt.cpp:214-258; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/unary.cpp:193-215; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/expr_common.cpp:563-585,"assignment_stmt ::= place_expr ""="" expression"
3358,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,compound_assign,CursiveSpecification.md:29488,/mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/compound_assign_stmt.cpp:173-213; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/unary.cpp:193-215; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/expr_common.cpp:563-585,compound_assign ::= place_expr compound_op expression
3360,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,place_expr,CursiveSpecification.md:29490,/mnt/c/dev/cursive/cursive/src/02_source/parser/expr/unary.cpp:193-215; /mnt/c/dev/cursive/cursive/src/02_source/parser/expr/expr_common.cpp:563-585,"place_expr      ::= identifier | postfix_expr ""."" identifier | postfix_expr ""["" expression ""]"""
3361,TASK-008,Phase 1 - Parse and Aggregate,compiler/02_source,incorrect,expr_stmt,CursiveSpecification.md:29492,/mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/expr_stmt.cpp:261-285; /mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/parse_stmt.cpp:443-449; /mnt/c/dev/cursive/cursive/src/02_source/parser/stmt/stmt_common.cpp:445-460,expr_stmt  ::= expression terminator
3370,TASK-024,Phase 2 - ExecuteComptime,compiler/02_source + compiler/04_analysis,incorrect,**`[[emit]]`.** Grants the `TypeEmitter` capability to the annotated compile-time statement or compile-time expression. ,CursiveSpecification.md:6830,/mnt/c/dev/cursive/cursive/src/04_analysis/attributes/attribute_registry.cpp:185-190; /mnt/c/dev/cursive/cursive/src/03_comptime/common.cpp:45-54; cursive/src/03_comptime/rewrite.cpp:180-232,**`[[emit]]`.** Grants the `TypeEmitter` capability to the annotated compile-time statement or compile-time expression. The target MUST be a `comptime` form. Emission ordering and generated-item visibility are defined by §22.4.
3371,TASK-024,Phase 2 - ExecuteComptime,compiler/02_source + compiler/04_analysis,incorrect,**`[[files]]`.** Grants the `ProjectFiles` capability to the annotated compile-time statement or compile-time expression,CursiveSpecification.md:6832,/mnt/c/dev/cursive/cursive/src/04_analysis/attributes/attribute_registry.cpp:191-196; /mnt/c/dev/cursive/cursive/src/03_comptime/common.cpp:45-54; cursive/src/03_comptime/rewrite.cpp:180-232,**`[[files]]`.** Grants the `ProjectFiles` capability to the annotated compile-time statement or compile-time expression. The target MUST be a `comptime` form. File snapshot and path-confinement semantics are defined by §22.2.
3372,TASK-023,Phase 2 - ExecuteComptime,compiler/04_analysis,incorrect,Pure-Comptime,CursiveSpecification.md:14424-14427,/mnt/c/dev/cursive/cursive/src/04_analysis/contracts/contract_check.cpp:261-317; /mnt/c/dev/cursive/cursive/src/04_analysis/contracts/contract_check.cpp:895-918,"**(Pure-Comptime)**
ComptimeProc(f)    Γ ⊢ e_1 pure    …    Γ ⊢ e_n pure
────────────────────────────────────────────────────────────
Γ ⊢ CallExpr(f, [e_1, …, e_n]) pure"
3373,TASK-024,Phase 2 - ExecuteComptime,compiler/02_source + compiler/04_analysis,incorrect,ComptimeProc(f),CursiveSpecification.md:14436,/mnt/c/dev/cursive/cursive/src/02_source/parser/item/parse_item.cpp:347-357; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/call.cpp:107-110; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/call.cpp:147-154,"ComptimeProc(f) ⇔ HasAttribute(ProcDecl(f), `comptime`)"
3375,TASK-024,Phase 2 - ExecuteComptime,compiler/02_source + compiler/04_analysis,incorrect,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics paragraph @23792,CursiveSpecification.md:23792,/mnt/c/dev/cursive/cursive/src/04_analysis/typing/type_expr.cpp:253-270; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/type_expr.cpp:938-943; /mnt/c/dev/cursive/cursive/src/03_comptime/pass.cpp:123-172,"In the rules below, `Γ_ct` denotes the typing environment obtained by extending `Γ` with the local bindings of the current compile-time body, the compile-time procedure bindings introduced earlier in the same Phase 2 source order, and the capability bindings admitted by §22.2 for the current site."
3376,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics paragraph @23794,CursiveSpecification.md:23794-23800,,"CtAvail(TypePrim(_))
CtAvail(TypeString(`@View`))
CtAvail(TypeString(`@Managed`))
CtAvail(TypeBytes(`@View`))
CtAvail(TypeBytes(`@Managed`))
CtAvail(TypePath([`Type`]))
CtAvail(TypePath([`Ast`]))"
3377,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,CtAvail(TypeTuple(Ts)),CursiveSpecification.md:23802,,CtAvail(TypeTuple(Ts)) ⇔ ∀ T ∈ Ts. CtAvail(T)
3378,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,"CtAvail(TypeArray(T, _))",CursiveSpecification.md:23803,,"CtAvail(TypeArray(T, _)) ⇔ CtAvail(T)"
3379,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,CtAvail(TypeSlice(T)),CursiveSpecification.md:23804,,CtAvail(TypeSlice(T)) ⇔ CtAvail(T)
3380,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,CtAvail(TypePath(p)),CursiveSpecification.md:23805,,CtAvail(TypePath(p)) ⇔ RecordDecl(p) = R ∧ ∀ f ∈ Fields(R). CtAvail(StripPerm(f.type))
3381,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,CtAvail(TypePath(p)),CursiveSpecification.md:23806,,CtAvail(TypePath(p)) ⇔ EnumDecl(p) = E ∧ ∀ v ∈ Variants(E). ∀ T ∈ PayloadTypes(v). CtAvail(StripPerm(T))
3382,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,"CtAvail(TypePerm(_, T))",CursiveSpecification.md:23807,,"CtAvail(TypePerm(_, T)) ⇔ CtAvail(T)"
3383,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,CtForbiddenType(T),CursiveSpecification.md:23809,,"CtForbiddenType(T) ⇔ CapInType(T) ≠ ∅ ∨ StripPerm(T) = TypeModalState(_, _) ∨ StripPerm(T) = TypeDynamic(_) ∨ StripPerm(T) = TypePtr(_, _) ∨ StripPerm(T) = TypeRawPtr(_, _) ∨ StripPerm(T) = TypeFunc(_, _) ∨ AliasNorm(T) = TypePath([""Context""])"
3384,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,"A conforming implementation MUST reject any compile-time expression, compile-time variable, compile-time procedure param",CursiveSpecification.md:23811,,"A conforming implementation MUST reject any compile-time expression, compile-time variable, compile-time procedure parameter, or compile-time procedure return type for which `CtForbiddenType(T)` holds or `CtAvail(T)` does not hold."
3385,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,The following constructs are prohibited inside compile-time execution:,CursiveSpecification.md:23813,,The following constructs are prohibited inside compile-time execution:
3386,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics bullet @23814,CursiveSpecification.md:23814,,- region allocation and frame operations
3387,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics bullet @23815,CursiveSpecification.md:23815,,- key acquisition blocks and dynamic key synchronization
3388,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics bullet @23816,CursiveSpecification.md:23816,,"- `parallel`, `spawn`, `dispatch`, `wait`, `yield`, `yield from`, `sync`, `race`, and `all`"
3389,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics bullet @23817,CursiveSpecification.md:23817,,"- raw-pointer dereference, `transmute`, and any `unsafe`-only operation"
3390,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics bullet @23818,CursiveSpecification.md:23818,,- any call that crosses an FFI boundary
3391,TASK-022,Phase 2 - ExecuteComptime,compiler/02_source,incorrect,T-CtStmt,CursiveSpecification.md:23820-23823,/mnt/c/dev/cursive/cursive/src/02_source/parser/item/parse_item.cpp:354-356; /mnt/c/dev/cursive/cursive/src/03_comptime/common.cpp:45-54; cursive/src/03_comptime/rewrite.cpp:180-232,"**(T-CtStmt)**
Γ_ct ⊢ body : TypePrim(""()"")
──────────────────────────────────────────────
Γ ⊢ CtStmt(body, attrs_opt, span) : TypePrim(""()"")"
3392,TASK-023,Phase 2 - ExecuteComptime,compiler/04_analysis,incorrect,T-CtExpr,CursiveSpecification.md:23825-23828,/mnt/c/dev/cursive/cursive/src/04_analysis/typing/type_expr.cpp:938-943,"**(T-CtExpr)**
Γ_ct ⊢ body : T    CtAvail(T)    ¬ CtForbiddenType(T)
──────────────────────────────────────────────────────
Γ ⊢ CtExpr(body, attrs_opt, span) : T"
3393,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,T-CtIf,CursiveSpecification.md:23830-23833,,"**(T-CtIf)**
Γ_ct ⊢ cond : TypePrim(""bool"")    Γ_ct ⊢ then_blk : U    Γ_ct ⊢ else_blk : U
────────────────────────────────────────────────────────────────────────────────
Γ ⊢ CtIf(cond, then_blk, else_blk, span) : U"
3394,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,T-CtFor,CursiveSpecification.md:23835-23838,,"**(T-CtFor)**
Γ_ct ⊢ src : T_src    CtIterableType(T_src)    Γ_ct, pat : ElemType(T_src) ⊢ body : TypePrim(""()"")
────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ CtFor(pat, src, body, span) : TypePrim(""()"")"
3395,TASK-024,Phase 2 - ExecuteComptime,compiler/02_source + compiler/04_analysis,incorrect,T-CtProc,CursiveSpecification.md:23840-23843,/mnt/c/dev/cursive/cursive/src/02_source/parser/item/procedure_decl.cpp:161-165; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/typecheck.cpp:404-407,"**(T-CtProc)**
proc = CtProc(attrs_opt, vis, name, gen_params_opt, params, ret_opt, requires_opt, body, span, doc)    ∀ ⟨_, _, T⟩ ∈ params. CtAvail(T) ∧ ¬ CtForbiddenType(T)    CtAvail(ProcReturn(ret_opt))    ¬ CtForbiddenType(ProcReturn(ret_opt))    Γ_ct, params ⊢ body : ProcReturn(ret_opt)
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Γ ⊢ proc : wf"
3396,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics paragraph @23845,CursiveSpecification.md:23845,,"`requires` predicates on a compile-time procedure are evaluated at compile-time at each call site. If any predicate evaluates to `false`, the call is ill-formed."
3397,TASK-023,Phase 2 - ExecuteComptime,compiler/04_analysis,incorrect,Compile-time procedures MUST be callable only from compile-time contexts. Runtime expressions and runtime procedure bodi,CursiveSpecification.md:23847,/mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/call.cpp:147-154; /mnt/c/dev/cursive/cursive/src/04_analysis/typing/expr/call.cpp:282-288,"Compile-time procedures MUST be callable only from compile-time contexts. Runtime expressions and runtime procedure bodies MUST NOT name, take the address of, store, or call a compile-time procedure."
3398,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,Cursive Language Specification > 22. Compile-Time Execution and Metaprogramming > 22.1 Compile-Time Forms > 22.1.4 Static Semantics paragraph @23849,CursiveSpecification.md:23849,,"For `comptime if`, only the selected branch becomes part of the expanded program."
3399,TASK-021,Phase 2 - ExecuteComptime,unmapped/no-compiler-location,missing,"For `comptime for`, the source value MUST be finite and iteration order MUST equal the canonical element order of the so",CursiveSpecification.md:23850,,"For `comptime for`, the source value MUST be finite and iteration order MUST equal the canonical element order of the source value."
3401,TASK-022,Phase 2 - ExecuteComptime,compiler/02_source,incorrect,CtEmptyEnv(M),CursiveSpecification.md:23856,/mnt/c/dev/cursive/cursive/include/03_comptime/comptime_internal.h:54-65,"CtEmptyEnv(M) = ⟨∅, ∅, ∅, ⟨M.path, 0, ⊥⟩, ⊥⟩"
3402,TASK-022,Phase 2 - ExecuteComptime,compiler/02_source,incorrect,"WithCtSite(Ξ, ord, sp)",CursiveSpecification.md:23857,/mnt/c/dev/cursive/cursive/include/03_comptime/comptime_internal.h:54-65,"WithCtSite(Ξ, ord, sp) = Ξ' ⇔ CtSiteOf(Ξ) = ⟨mp, _, _⟩ ∧ Ξ' = ⟨CtVals(Ξ), CtProcs(Ξ), CtCaps(Ξ), ⟨mp, ord, sp⟩, CtQuoteCtxOf(Ξ)⟩"
